N,P,K,temperature,ph,rainfall,label
90,42,43,20.87974371,6.502985292,202.9355362,rice
85,58,41,21.77046169,7.038096361,226.6555374,rice
60,55,44,23.00445915,7.840207144,263.9642476,rice
74,35,40,26.49109635,6.980400905,242.8640342,rice
78,42,42,20.13017482,7.628472891,262.7173405,rice
69,37,42,23.05804872,7.073453503,251.0549998,rice
69,55,38,22.70883798,5.70080568,271.3248604,rice
94,53,40,20.27774362,5.718627178,241.9741949,rice
89,54,38,24.51588066,6.685346424,230.4462359,rice
68,58,38,23.22397386,6.336253525,221.2091958,rice
91,53,40,26.52723513,5.386167788,264.6148697,rice
90,46,42,23.97898217,7.50283396,250.0832336,rice
78,58,44,26.80079604,5.108681786,284.4364567,rice
93,56,36,24.01497622,6.98435366,185.2773389,rice
94,50,37,25.66585205,6.94801983,209.5869708,rice
60,48,39,24.28209415,7.042299069,231.0863347,rice
85,38,41,21.58711777,6.249050656,276.6552459,rice
91,35,39,23.79391957,6.970859754,206.2611855,rice
77,38,36,21.8652524,5.953933276,224.5550169,rice
88,35,40,23.57943626,5.85393208,291.2986618,rice
89,45,36,21.32504158,6.442475375,185.4974732,rice
76,40,43,25.15745531,5.070175667,231.3843163,rice
67,59,41,21.94766735,6.012632591,213.3560921,rice
83,41,43,21.0525355,6.254028451,233.1075816,rice
98,47,37,23.48381344,7.375482851,224.0581164,rice
66,53,41,25.0756354,7.778915154,257.0038865,rice
97,59,43,26.35927159,6.286500176,271.3586137,rice
97,50,41,24.52922681,7.070959995,260.2634026,rice
60,49,44,20.77576147,6.244841491,240.0810647,rice
84,51,35,22.30157427,6.043304899,197.9791215,rice
73,57,41,21.44653958,5.824709117,272.2017204,rice
92,35,40,22.17931888,6.357389366,200.0882787,rice
85,37,39,24.52783742,6.364134968,224.6757231,rice
98,53,38,20.26707606,5.01450727,270.4417274,rice
88,54,44,25.7354293,6.149410611,233.1321372,rice
95,55,42,26.79533926,5.950660556,193.3473987,rice
99,57,35,26.75754171,5.960370061,272.2999056,rice
95,39,36,23.86330467,5.561398642,285.2493645,rice
60,43,44,21.01944696,7.416245107,298.4018471,rice
63,44,41,24.17298839,5.583370042,257.0343554,rice
62,42,36,22.78133816,6.430010215,248.7183228,rice
64,45,43,25.62980105,5.534878156,209.9001977,rice
83,60,36,25.59704938,6.903985986,200.834898,rice
82,40,40,23.83067496,6.271478838,298.5601175,rice
85,52,45,26.31355498,7.224285503,265.5355937,rice
91,35,38,24.8972823,6.13428721,183.6793207,rice
76,49,42,24.958779,5.206373153,196.9560008,rice
74,39,38,23.24113501,7.782051313,233.0453455,rice
79,43,39,21.66628296,7.062779015,210.8142087,rice
88,55,45,24.63544858,7.730367824,253.7202781,rice
60,36,43,23.43121862,5.286203711,219.9048349,rice
76,60,39,20.0454142,6.766240045,208.5810155,rice
93,56,42,23.85724032,7.382762603,195.0948311,rice
65,60,43,21.97199397,5.658169482,227.3637009,rice
95,52,36,26.22916897,5.543360238,286.5083725,rice
75,38,39,23.44676801,6.215109715,283.9338466,rice
74,54,38,25.65553461,7.120272972,217.3788583,rice
91,36,45,24.44345477,5.950647577,267.9761948,rice
