N,P,K,temperature,ph,rainfall,label
115,60,60,7.0,900.0,30.0,Cotton
85,50,45,7.0,500.0,15.0,Wheat
37,137,199,22.63946441,5.697945522,108.3405879,apple
115,40,50,6.0,800.0,25.0,Cotton
120,75,60,7.0,500.0,30.0,Maize
120,60,50,7.5,1100.0,30.0,Rice
125,60,75,6.5,1000.0,35.0,Sugarcane
85,50,130,7.0,700.0,30.0,Grapes
60,35,20,6.0,600.0,30.0,Tur
37,126,196,23.59997268,5.596449493,107.1728191,apple
130,60,70,6.0,900.0,30.0,Cotton
120,70,145,7.0,1000.0,35.0,Sugarcane
100,70,40,6.0,800.0,25.0,Cotton
110,80,60,7.5,600.0,30.0,Cotton
100,50,50,7.0,1200.0,35.0,Rice
150,80,150,6.0,900.0,30.0,Sugarcane
55,78,21,33.39438752,6.602888249,63.57445989,blackgram
125,60,95,7.0,800.0,20.0,Sugarcane
65,60,55,6.0,500.0,15.0,Wheat
125,80,60,7.5,500.0,25.0,Maize
105,75,50,7.5,1000.0,25.0,Wheat
115,60,55,6.5,900.0,35.0,Rice
140,40,75,6.5,1000.0,35.0,Cotton
140,80,70,8.5,1100.0,35.0,Sugarcane
110,65,40,7.0,800.0,25.0,Cotton
113,85,45,27.94972463,6.037430836,109.0921631,banana
80,55,130,7.5,800.0,30.0,Grapes
23,45,23,28.77653519,6.983130466,56.12443206,mungbean
110,45,55,7.5,900.0,20.0,Wheat
19,123,200,34.76086052,6.167013532,65.70430027,grapes
105,55,60,6.0,800.0,35.0,Rice
13,16,8,34.74004942,6.949838549,100.1967854,orange
115,30,50,6.0,700.0,35.0,Cotton
91,24,55,26.27061608,6.259086583,46.76837499,watermelon
125,75,80,7.0,800.0,25.0,Sugarcane
27,30,5,32.71748548,7.656978112,113.328978,orange
114,27,28,24.99451759,7.162802357,192.8736822,coffee
63,58,50,43.03714283,6.720744449,41.5856585,papaya
30,30,30,5.5,800.0,30.0,Rice
135,60,120,6.5,1000.0,20.0,Sugarcane
52,63,19,29.58949031,6.928898659,67.53021213,blackgram
105,45,65,7.5,800.0,25.0,Cotton
105,70,75,8.0,600.0,20.0,Cotton
105,60,60,6.5,900.0,35.0,Rice
125,80,100,6.5,700.0,25.0,Sugarcane
104,47,18,23.9656349,7.633437412,90.75616738,cotton
95,38,22,19.84939404,5.730617109,100.7689246,maize
120,70,50,7.0,700.0,25.0,Wheat
135,80,45,7.5,500.0,30.0,Maize
103,27,31,27.15998538,6.691541233,126.1752206,coffee
60,50,55,7.5,600.0,30.0,Wheat
100,40,50,6.0,800.0,25.0,Cotton
65,62,51,31.53243779,6.511624841,207.0735119,papaya
65,40,60,6.0,700.0,25.0,Wheat
76,48,18,19.29563411,5.77597783,83.21030571,maize
60,30,20,6.5,600.0,20.0,Jowar
85,45,50,6.5,1000.0,25.0,Wheat
20,40,20,7.0,1000.0,25.0,Urad
120,75,45,7.0,500.0,15.0,Wheat
